"ID пункта";Оператор;Регион;Город;Кладр-код;Адрес;"Станция метро";"Как найти";"Режим работы";"Макс. вес заказа";Широта;Долгота;Телефон;E-mail;"Срок доставки";"Пункт принимает заказы";"Доступна оплата картой";"Только предоплаченные заказы"
Elizarovskaya-N3;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"проспект Обуховской обороны дом 75";Елизаровская;"<p><span>Пункт находится в правой части дома, вход с проспекта.</span><br /><br /><br /></p>";"пн-вс 09-21";20;59.90158500;30.42524700;"7 (921) 424-41-95";tochka.oborony75@yandex.ru;1-2;1;1;0
GM-SPB-Kapitanskay;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Капитанская д.5, к.Б";Капитанская;"<p><span>Пункт выдачи находиться на 1 этаже на&nbsp; углу жилого дома напротив сквер с детской площадкой, в доме огромная арка, слева от арки по лестнице&nbsp;вход в пункт выдачи.</span></p>";"пн-вс 9-21";50;59.95600730;30.21400687;8-981-882-94-29;kapitanskay2020@yandex.ru;1-3;1;1;0
Kirovskiyzavod-St39-guk;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр. Стачек д.22";"Кировский завод";"<p><span style=""font-size: medium;"">Пункт с ограниченным функционалом (работает строго на выдачу заказов, приемка и последующее перемещение заказов в другие ПВЗ не осуществляется)</span></p>
<p><span style=""font-size: medium;""><span>Проезд: автобус № 2, 66, 73; троллейбус № 20; маршрутное такси № 2, 20, 66, 195, 306, 404. Остановка: &laquo;Огородный пер&raquo;. (пр. Стачек). 100 метров от остановки общественного транспорта по пр. Стачек.</span></span></p>
<p>&nbsp;</p>
<p><span style=""font-size: medium;""><span>&nbsp;</span></span></p>";"пн-вс 10-21";20;59.89096100;30.27293800;"8 (921) 335-63-10";info@glavpunkt.ru;1-3;0;1;0
BYA-SPB-Kollantay;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Коллонтай д.31 к.2";Коллонтай;"<p><span>м.Большевиков. Маршрутка к-155. Остановка Универсам. ПВЗ располагается напротив остановки 110м.</span></p>";"пн-вс 9-21";50;59.92282071;30.48459173;8-921-932-56-60;ekaterina.nastroenie@yandex.ru;1-3;1;1;0
SZ-SPB-Komendantskiy;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Комендантская площадь, дом 8, литер «А»";Комендантский;"<p>Вход под вывеской магазин ""ЦВЕТЫ"", справа через дорогу от ТЦ ""Променад"", цокольное помещение.&nbsp;</p>";"пн-пт 11-20, сб-вс вых.";20;60.00596163;30.26074004;"8 (812) 407-22-04";glavpunkt.komendan@gmail.com;1-2;1;1;0
Kotina-K2-guk;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Ленинский пр. д.87";"Котина ул.";"<p>&nbsp;</p>
<p><span style=""font-size: medium;""><span><br /></span></span></p>";"пн-вс 10-21";20;59.85526700;30.20420800;"8 (921) 650-19-18";info@glavpunkt.ru;1-2;0;1;0
BYA-SPB-Krasnoputilovskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Краснопутиловская д.30";Краснопутиловская;"<p><span>м.Автово. При выходе из метро поворачиваем налево, идем до ул.Автовская. Далее по ул. Автовская идем 80м . Дом будет на пересечении ул Автовская и Красопутиловская.&nbsp; Вывеска ОЗОН</span></p>";"пн-вс 9-21";50;59.86922756;30.27267545;8-921-560-83-06;ozonkrasnoput30@yandex.ru;1-3;1;1;0
EG-SPB-Balkanskaya25P;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Балканская пл., 5 корпус 4 секция 25П";Купчино;"<p>ТК Домострой, Балканская пл., 5 корпус 4, секция 25П.</p>";"пн-вс 10-20";30;59.83189200;30.37596500;+7(950)-047-44-41;9500474441@mail.ru;1-3;1;1;0
ID-SPB-Kupchino;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Дунайский пр., д. 41, корп. 2.";"Купчино2 / Дунайский";"<p>Одноэтажное здание рядом с ТЦ ""Водопад"", на здании вывеска OZON. Вход в ПВЗ со двора, обойти здание справа через ворота, вход через белую дверь.&nbsp;&nbsp;</p>";"пн-вс 10-21";20;59.83875600;30.39881900;"8 (812) 407-36-30";kupchino2glavpunkt@gmail.com;1-2;1;1;0
SZ-SPB-Ladozhskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Заневский пр, д65, к.5, лит.А ТК ""Платформа""";Ладожская;;"пн-пт 11-20, сб-вс вых.";20;59.93245000;30.43416700;"8 (812) 385-58-34";glavpunkt.ladozhskaya@gmail.com;1-2;1;1;0
Levashovskiy-L12;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Левашовский пр., д.12";"Левашовский пр.";"<p><span style=""font-size: medium;"">Пункт с ограниченным функционалом (работает строго на выдачу заказов, приемка и последующее перемещение заказов в другие ПВЗ не осуществляется)</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: small;"">Станция метро: &laquo;Чкаловская&raquo;.&nbsp;<span>Остановка &laquo;Левашовский проспект&raquo; (Автобусы: 1, 10, 14, 25).</span></span></p>
<p><span style=""font-size: small;"">Расстояние от остановки до Отделения - 150 метров Офисное 7-ми этажное здание. Вход: Отдельное крыльцо, первое от угла здания (ориентир вывеска FixPrice). 1 Этаж.</span></p>";"пн-вс 10-21";20;59.96587200;30.29298800;"8 (905) 228-16-55";info@glavpunkt.ru;1-2;0;1;0
Leninskiy-T17k2-ID;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Трамвайный пр, д.17, к.2, ТЦ ""Нарва"", секц.14";Ленинский;"<p>Дополнительный номер для связи:&nbsp;<span>8(952)</span><span class=""wmi-callto"">381-66-07</span></p>";"пн-вс 11-20";20;59.85331500;30.26839200;"8 (812) 407-20-84";leninckiyglavpunkt@gmail.com;1-2;1;1;0
Lomonosovskaya-P6;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Бабушкина, д. 81, к. 1, лит. А, пом. 24-Н";Ломоносовская;"<p>Отдельный вход с улицы Бабушкина, вывеска ОЗОН.</p>";"пн-вс 10-21";20;59.87396100;30.44579100;"8 (812) 317-71-58 доб. 888";info@glavpunkt.ru;1-2;0;1;0
BYA-SPB-Govorova;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Маршала Говорова 14 к1";"Маршала Говорова";"<p><span>М.Кировский завод. Пункт располагается в пешей доступности. На 1этаже жилого дома. Из метро на право, вдоль ТЦ Румба. Дом расположен за ТЦ. Ориентир вывеска Озон</span></p>";"пн-вс 9-21";50;59.87981800;30.26736800;8-921-809-29-75;ozongovorova@yandex.ru;1-3;1;1;0
BYA-SPB-Zhukova;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Маршала Жукова 54к1";"Маршала Жукова";"<p><span>Метро Ветеранов, остановка Солдата Корзуна д54, корпус 6. Маршрутка 130, 184,20 , Автобусы 130. Вход со стороный проспекта Маршала Жукова, вывеска ОПТОВЫЙ СКЛАД ЦВЕТОВ, ОЗОН(вход именно в это помещение).</span></p>";"пн-вс 9-21";50;59.84197700;30.20797279;8-953-351-16-96;ozonjukova54@yandex.ru;1-3;1;1;0
Mezhdunarodnaia-B6k1;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Бухарестская, д. 78";Международная;"<p>Из метро Международная выйти направо, перейти Бухарестскую улицу и идти по ней направо до дома 78. ПВЗ находится на первом этаже жилого 9-этажного дома, прямой вход с Бухарестской улицы. Соседняя дверь от магазина ""Vardex"".</p>";"пн-вс 10-21";20;59.86914200;30.38331400;"8 (812) 407-18-74";mezhdunarodnaya.gp@gmail.com;1-2;1;1;0
SZ-SPB-Moskovskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Алтайская, д.16";Московская;;"пн-пт 11-20, сб-вс вых.";20;59.84966400;30.32737600;"8 (812) 373-46-27";glavpunkt.spb@gmail.com;1-2;1;1;0
Shuvalova-Sh9-guk;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Мурино, Петровский бульвар, д. 7";Мурино;"<p><span>1 этаж жилого дома, вход со двора, помещение с отдельным входом между 13 и 14 подъездами, вывеска OZON</span></p>";"пн-вс 10-21";20;60.05581200;30.43195700;"8 (960) 270-64-31";shuvalova9@pvzspb.ru;1-2;0;1;0
BYA-SPB-Nevskiy;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Невский пр. д.110";"Невский 110";"<p><span>м.пл Восстания. Поворачиваем направо. Идем по Невскому проспекту 300м. Ориентир магазин Нумизмат.</span></p>";"пн-вс 9-21";50;59.93171500;30.35791800;8-921-905-30-28;newcoins110@yandex.ru;1-3;1;1;0
PS-SPB-Novoizmaylov;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Новоизмайловский пр. д.22, к.2";Новоизмайловский;"<p><span>При входе лесница, поднимаемся на 2 этаж налево, далее прямо по коридору офис ПВЗ с левой стороны.</span></p>";"пн-пт 11-20, сб 11-19, вс-вых";50;59.86217200;30.30678600;8-905-229-60-66;postservicespb@yandex.ru;1-3;1;1;0
BYA-SPB-Ligovsky;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Лиговский пр. д.251";"Обводный канал";"<p><span>Лиговский проспект 251, 10 минут пешком.&nbsp; Ориентир цветочный магазин.</span></p>";"пн-вс 9-21";50;59.90812800;30.34545900;8-921-950-03-58;ligovka251@yandex.ru;1-3;1;1;0
Slavy-S51;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр. Славы, д. 51";"Парк Интернационалистов";"<p>Пункт выдачи находится в жилом доме на первом этаже. Вход в пункт с пр. Славы располагается слева от арки, которая ведет во двор. Ориентир - вывеска Озон.</p>";"пн-вс 09-21";20;59.86364719;30.40984815;+7(960)267-10-53;tochka.slavy51@yandex.ru;1-2;1;1;0
Parnas-MD25k2-guk;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Михаила Дудина д.25 к.2";Парнас;"<p>Пункт с ограниченным функционалом (работает строго на выдачу заказов, приемка и последующее перемещение заказов в другие ПВЗ не осуществляется)</p>";"пн-вс 10-21";20;60.07170800;30.32976500;"8 (931) 531-75-71";pvz_parnas@mail.ru;1-2;0;1;0
Parnas-FA16K1-guk;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Федора Абрамова, д. 16 корп. 1";Парнас2;"<p><span>1 этаж жилого дома, вывеска ОЗОН,&nbsp; правая сторона от пародной &nbsp;№1, с правой стороны соседи магазин ""САНТЕХЛАЙТ""</span></p>";"пн-вс 10-21";20;60.07846400;30.34215300;"8 (960) 270-64-32";abramova16@pvzspb.ru;1-2;0;1;0
Matveeva-M5;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пер. Матвеева, д. 5";"пер. Матвеева";"<p>Ближайшая станция метро - Садовая. Остановки - ""Мариинский театр 2 сцена"", ""Лермонтовский пр."". Вход с пер. Матвеева, жилой 5-этажный дом, крайняя правая дверь. Вывеска: ""Срочное фото, копицентр"", 1-й этаж, 2-ой зал.<br /><br /></p>";"пн-пт 10-19, сб 10-17:30, вс - вых.";20;59.92646300;30.29220600;"8 (996) 777-09-47";netpystote@gmail.com;1-2;1;1;0
AB-SPB-Pionerskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Коломяжский пр., д.15, корп.2";Пионерская;"<p>Направо от выхода из метро. Вход с Богатырского пр. напротив церкви. Вывеска &laquo;Главпункт&raquo;</p>";"пн-пт 11-20, сб-вс вых.";20;60.00107165;30.30037314;"8 (812) 407-30-86";pionerskaya.gpunkt@gmail.com;1-2;1;1;0
ID-SPB-PLenina;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Комсомола, д.16 (вход с Комсомола)";Пл.Ленина;"<p>Выход из метро на пл. Ленина, повернуть налево, перейти дорогу. Вход с ул.Комсомола. ПВЗ находится во втором зале (первый - проходной).</p>";"пн-вс 10-21";20;59.95484274;30.35792361;"8 (812) 407-16-32";glavpunkt.pllenina@gmail.com;1-2;1;1;0
PloshadVosstaniya-6S22-22;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. 6-я Советская, д. 22/22, пом. 3-Н";"Площадь Восстания";"<p>&nbsp;</p>
<div>От м. Площадь Восстания пройти по Суворовскому проспекту до улицы 6-ой Советской, повернуть направо к Рождественскому Храму, обойти его с левой стороны. На углу фасада дома Красноборского переулка и улицы 6-ой Советской дом 22/22 (угол ближе к ул.6-ой Советской). По ступенькам вниз спуститься на цокольный этаж, на двери ПВЗ вывеска ""МАРКЕР"".</div>";"пн-пт 10-19, перерыв с 14 до 15";20;59.93453800;30.37394400;"8 (812) 309-70-80";info@markerplus.ru;1-2;1;1;0
TS-SPB-Muzhestva;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"2-ой Муринский, д.38";"Площадь Мужества";"<p><span>ТЦ Клондайк, 1 этаж, секция 3</span></p>";"пн-вс 10-21";50;59.99936490;30.35984481;8-929-103-24-45;sergeytuzhikov@yandex.ru;1-3;1;0;0
Slavy-S4;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр. Славы, д.4";"пр. Славы";"<p><span>Пункт выдачи находится в жилом доме на первом этаже. Вход в пункт с пр. Славы располагается слева от арки, которая ведет во двор. Ориентир Вывеска Озон.</span></p>";"пн-вс 10-21";20;59.85530800;30.37054900;"8 (921) 637-72-49";mirvtochke@yandex.ru;1-2;1;1;0
Slavy-B94k1;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Бухарестская, д. 94 к. 1";"пр. Славы 3";"<p>9-этажное жилое здание - второе от перекрестка проспекта Славы и Бухарестской улицы. 1 этаж, вход со стороны улицы. ПВЗ расположен внутри магазина Папироска.рф.</p>
<div id=""_mcePaste"" class=""mcePaste"" style=""position: absolute; left: -10000px; top: 0px; width: 1px; height: 1px; overflow: hidden;"">
<table class=""MsoTableGrid"" style=""width: 531.6pt; margin-left: 5.4pt; border-collapse: collapse; border: none; mso-border-alt: solid windowtext .5pt; mso-yfti-tbllook: 1184; mso-padding-alt: 0cm 5.4pt 0cm 5.4pt;"" border=""1"" cellspacing=""0"" cellpadding=""0"" width=""709"">
<tbody>
<tr style=""mso-yfti-irow: 0; mso-yfti-firstrow: yes; mso-yfti-lastrow: yes;"">
<td style=""width: 370.25pt; border: solid windowtext 1.0pt; mso-border-alt: solid windowtext .5pt; padding: 0cm 5.4pt 0cm 5.4pt;"" width=""494"" valign=""top"">
<p class=""MsoNoSpacing"">Бухарестская 94к1. 9-этажное жилое здание-второе от   перекрестка проспекта Славы и Бухарестской улицы. ПВЗ находится на 1-ом этаже   со стороны улицы.</p>
</td>
</tr>
</tbody>
</table>
<div id=""_mcePaste"" class=""mcePaste"" style=""position: absolute; left: -10000px; top: 0px; width: 1px; height: 1px; overflow: hidden;"">Краткое описание, как добраться до ПВЗ</div>
<div id=""_mcePaste"" class=""mcePaste"" style=""position: absolute; left: -10000px; top: 0px; width: 1px; height: 1px; overflow: hidden;""><span style=""white-space: pre;""> </span>Бухарестская 94к1. 9-этажное жилое здание-второе от перекрестка проспекта Славы и Бухарестской улицы. ПВЗ находится на 1-ом этаже со стороны улицы.</div>
</div>";"пн-вс 10-21";20;59.86113700;30.39146100;"8 (960) 235-16-32";pvz.buharest@gmail.com;1-2;1;1;0
SPB-PL-Engelsa94k1;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр. Энгельса, д. 94, корп. 1";"пр. Энгельса";"<p><span>Пункт выдачи находится в жилом доме, 1-й этаж.</span><br /><span>От м. Удельная до остановка ""Пенсионный фонд"":</span><br /><span>- трамвай: № 9.</span><br /><span>От м. Озерки до остановка ""Пенсионный фонд"":</span><br /><span>- трамваи: № 20, 21, 9.</span></p>";"пн-вс 10-21";30;60.02459900;30.31847300;8-981-779-34-37;info@glavpunkt.ru;1-3;1;1;1
AB-SPB-Primorskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"ул. Одоевского д.27, лит.А, 2 эт., сек.212 (у лифта)";Приморская;;"пн-пт 11-20, сб-вс вых.";20;59.94800000;30.23675300;"8 (812) 407-14-20";gp.primorskaya@gmail.com;1-2;1;1;0
AB-SPB-Prosveshenia;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр. Энгельса, д.137";Просвещения;;"пн-вс 10-21";20;60.05041700;30.33458000;8(812)241-64-10;engelsa.gpunkt@gmail.com;1-2;1;1;0
SZ-SPB-Kulturi;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"пр. Просвещения д.51";"Просвещения2/пр. Культуры";;"пн-пт 11-20, сб-вс вых.";20;60.04384000;30.37550700;"8 (812) 407-24-38";pr.kulturi.glavpunkt@gmail.com;1-2;1;1;0
BYA-SPB-Koroleva;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Проспект Королева д. 61";"Проспект Королёва";"<p><span>Проспект Королева 61, Юбилейный квартал, ближайшее метро Пионерская и Комендантский проспект,пешком одинаково, минут по 40. От Пионерской маршрутка 127, 79 (едут по Королева, остановка прямо у дома), 367(по Парашютной) остановка напротив магазина ""Перекресток"". От Комендантского только троллейбус ""2""(остановка у дома). Вход - оптовый склад цветов</span></p>";"пн-вс 9-21";50;60.03104910;30.24497897;8-921-936-14-43;koroleva61@yandex.ru;1-3;1;1;0
LIT-SPB-Rusanovskaya;gp;Санкт-Петербург;Санкт-Петербург;7800000000000;"Русановская ул. д.16, к.3";Русановская;"<p><span>Маршрутка К-385 Остановка: Уткина Заводь От остановки идите в сторону дома&nbsp;</span><span class=""js-extracted-address js-extracted-highlighted-address mail-Message-Map-Link"">ул. Русановская 16 корп.&nbsp;<span class=""mail-Message-Map-NoBreak"">3</span></span><span>&nbsp;Пункт находится с внешней стороны дома от двора; идите вдоль стены дома, напротив которой находится дом 18 корп 3, при повороте налево - увидите Ваш пункт Озон!</span></p>";"пн-вс 10-22";50;59.86724201;30.50831007;8-911-032-03-27;Rusanovskaya16k3@yandex.ru;1-3;1;1;0
